Book Title,Author,Year,Notes
The Great Gatsby,F. Scott Fitzgerald,2023,Classic American novel
1984,George Orwell,2023,Dystopian masterpiece
To Kill a Mockingbird,Harper Lee,2024,Powerful story about justice
Pride and Prejudice,Jane Austen,2024,
The Catcher in the Rye,J.D. Salinger,2023,Coming of age story
Brave New World,Aldous Huxley,2024,Thought-provoking dystopia
The Hobbit,J.R.R. Tolkien,2023,Adventure in Middle-earth
Harry Potter and the Philosopher's Stone,J.K. Rowling,2022,
The Lord of the Rings,J.R.R. Tolkien,2023,Epic fantasy trilogy
Animal Farm,George Orwell,2024,Political allegory
